,player,pos,year,bodyfat%,hand_len_in,hand_width_in,height_wo_shoes,height_w_shoes,standing_reach,weight_lbs,wingspan,lane_agility_s,shuttle_run_s,three_q_sprint_s,standing_vert_in,max_vert_in,max_bench_reps
1050,Vince Hunter,PF,2015-16,4.6,9.0,8.75,78.75,79.5,104.5,208.4,83.0,11.19,3.06,3.26,33.5,37.5,13.0
1051,Dakari Johnson,C,2015-16,14.9,9.25,10.5,83.0,83.75,112.0,264.6,86.0,11.76,2.94,3.62,22.5,25.0,4.0
1052,Stanley Johnson,SF,2015-16,7.5,9.0,9.0,77.0,78.5,102.0,241.8,83.5,,,,,,
1053,Tyus Jones,PG,2015-16,6.5,8.25,8.75,72.5,74.0,97.0,184.6,77.0,11.84,2.95,3.32,26.5,32.5,2.0
1054,Frank Kaminsky,C-PF,2015-16,9.4,8.5,9.5,83.75,84.75,109.5,231.2,83.0,,,,,,
1055,Kevon Looney,PF,2015-16,11.9,9.5,9.25,80.0,81.25,110.0,222.4,87.5,,,,,,
1056,Trey Lyles,PF,2015-16,12.1,9.25,10.25,81.0,82.25,108.0,241.2,85.5,,,,,,
1057,Jarell Martin,PF,2015-16,10.1,8.25,9.5,80.0,81.25,106.5,238.6,81.0,11.2,2.97,3.27,28.5,35.0,19.0
1058,TJ McConnell,PG,2015-16,7.3,7.5,7.0,72.5,74.0,96.5,187.8,74.0,10.95,3.09,3.3,26.0,31.5,7.0
1059,Chris McCullough,PF,2015-16,6.2,8.75,8.75,80.25,81.0,109.0,199.0,87.25,,,,,,
1060,Jordan Mickey,PF,2015-16,7.2,8.75,9.5,79.0,80.25,106.0,238.0,87.25,11.72,3.13,3.28,33.0,37.5,9.0
1061,Larry Nance,PF,2015-16,6.4,9.0,9.75,79.5,80.5,108.0,226.6,85.5,10.93,3.01,3.25,29.0,37.5,10.0
1062,Kelly Oubre,SF-SG,2015-16,5.7,9.0,8.75,77.75,78.75,102.5,202.8,86.25,11.09,3.12,3.32,34.5,37.0,7.0
1063,Cameron Payne,PG,2015-16,6.3,8.5,8.25,72.75,73.5,97.5,182.8,79.25,10.9,2.93,3.28,29.8,35.5,
1064,Terran Petteway,SG,2015-16,4.9,8.25,8.25,76.75,78.0,104.5,209.2,83.25,10.91,3.1,3.32,25.0,31.0,15.0
1065,Bobby Portis,PF,2015-16,8.9,9.5,9.25,81.5,82.5,108.5,246.2,86.0,11.78,3.28,3.56,25.0,31.5,5.0
1066,Norman Powell,SG,2015-16,6.4,9.25,9.0,75.0,76.25,102.5,215.4,82.75,10.69,3.2,3.2,32.5,40.5,5.0
1067,Michael Qualls,SG-SF,2015-16,4.0,9.0,10.25,76.0,77.0,104.5,201.4,84.25,11.88,,3.18,34.0,39.5,9.0
1068,Chasson Randle,PG,2015-16,4.5,8.5,9.5,72.25,73.5,96.5,178.8,79.0,10.63,2.81,3.2,33.5,39.5,6.0
1069,Terry Rozier,PG-SG,2015-16,5.6,8.25,8.5,72.5,74.25,98.5,190.2,80.25,10.84,2.84,3.15,33.0,38.0,7.0
1070,D?Angelo Russell,PG-SG,2015-16,8.3,8.75,9.75,75.25,77.0,102.0,193.4,81.75,,,,,,
1071,Keifer Sykes,PG,2015-16,5.0,8.5,9.5,70.5,71.75,93.0,167.2,74.0,10.47,3.15,3.13,34.0,43.0,8.0
1072,Marcus Thornton,PG-SG,2015-16,5.3,8.25,8.5,73.75,74.75,97.5,177.4,79.75,10.78,2.88,3.02,34.5,43.0,3.0
1073,J.P. Tokoto,SF-SG,2015-16,4.1,8.0,8.75,77.25,78.25,100.5,195.8,82.0,10.97,3.2,3.27,34.5,40.0,12.0
1074,Myles Turner,C-PF,2015-16,9.3,9.25,9.25,81.75,83.5,112.0,238.6,88.0,,,,,,
1075,Robert Upshaw,C,2015-16,12.5,10.0,11.0,82.75,84.0,113.0,258.2,89.5,,,,,,
1076,Rashad Vaughn,SG,2015-16,6.2,8.0,8.5,75.75,77.0,101.0,198.6,79.0,11.4,3.1,3.21,28.0,34.0,5.0
1077,Chris Walker,PF,2015-16,5.1,9.0,9.0,80.75,81.25,108.0,208.0,86.75,11.25,3.41,3.35,30.5,37.0,6.0
1078,Dez Wells,SG,2015-16,8.1,8.75,9.75,75.0,76.0,100.5,208.8,81.5,10.56,3.05,3.2,31.5,39.0,15.0
1079,Alan Williams,PF,2015-16,12.0,8.5,9.5,79.25,80.25,106.5,261.4,85.75,12.26,3.54,3.5,25.5,28.5,8.0
1080,Justise Winslow,SF,2015-16,5.3,8.5,9.25,76.5,78.5,104.5,221.8,82.25,,,,,,
1081,Christian Wood,PF,2015-16,14.7,9.25,10.75,81.25,82.5,111.5,216.0,87.25,,,,,,
1082,Delon Wright,PG,2015-16,6.6,8.0,8.5,76.25,77.5,101.5,181.4,79.5,11.16,3.5,3.29,29.5,31.0,4.0
1083,Ron Baker,SG,2016-17,7.85,8.75,9.5,75.25,76.25,97.5,212.4,81.75,10.77,2.96,3.45,30.0,35.5,
1084,Wade Baldwin IV,PG,2016-17,5.2,9.0,9.75,74.5,76.0,100.0,201.8,83.25,10.45,3.01,3.19,32.5,38.0,
1085,Cat Barber,PG,2016-17,4.5,8.0,8.5,73.5,74.75,95.5,173.0,77.5,,,,,,
1086,Malik Beasley,SG,2016-17,6.9,8.5,9.0,75.5,76.5,100.5,189.8,79.0,,,,,,
1087,DeAndre Bembry,SG-SF,2016-17,7.0,8.0,9.25,76.25,77.75,101.0,206.6,81.25,10.9,2.87,3.17,32.0,38.0,
1088,Ben Bentil,PF,2016-17,9.7,9.5,10.0,79.25,80.25,105.0,229.2,85.5,11.16,3.1,3.3,29.0,33.0,
1089,Jaron Blossomgame,SF,2016-17,5.25,8.5,10.0,78.25,79.25,102.0,213.6,82.0,11.53,3.26,3.2,35.0,41.0,
1090,Joel Bolomboy,PF,2016-17,5.15,9.0,10.25,79.5,81.0,103.5,224.4,85.75,10.26,2.86,3.17,37.5,40.5,
1091,Malcolm Brogdon,SG,2016-17,5.4,9.0,10.25,75.75,77.5,98.0,223.0,82.5,10.77,2.64,3.31,30.5,35.5,
1092,Jaylen Brown,SG-SF,2016-17,5.05,8.75,9.0,77.25,78.75,102.5,222.8,83.75,,,,,,
1093,Marquese Chriss,PF,2016-17,8.5,9.0,9.0,80.75,82.0,105.0,233.0,84.25,11.93,3.05,3.26,32.5,38.5,
1094,Elgin Cook,SF,2016-17,6.35,8.5,10.25,77.0,78.25,100.5,209.8,82.0,,,,,,
1095,Isaiah Cousins,PG,2016-17,4.8,8.25,8.75,75.25,76.5,98.5,194.0,78.25,10.79,2.97,3.24,30.5,37.0,
1096,Deyonta Davis,PF,2016-17,9.7,9.0,9.25,81.25,82.5,108.5,237.2,86.5,,,,,,
1097,Cheick Diallo,PF,2016-17,5.6,8.5,9.75,79.5,81.0,107.5,218.6,88.5,11.24,3.3,3.26,31.0,35.0,
1098,Kris Dunn,PG,2016-17,,,,75.0,76.25,100.0,,81.5,,,,,,
1099,Henry Ellenson,PF,2016-17,11.2,8.5,9.75,82.0,83.5,108.0,242.0,86.25,,,,,,
1100,Perry Ellis,PF,2016-17,4.6,8.0,8.5,79.0,80.25,102.0,217.8,82.25,10.73,3.03,3.13,32.0,38.0,
1101,Kay Felder,PG,2016-17,5.8,8.25,8.5,68.25,69.5,88.5,177.2,74.5,11.52,2.9,3.15,35.5,44.0,
1102,Dorian Finney-Smith,SF,2016-17,6.45,9.0,9.75,78.5,79.75,105.5,212.6,83.75,11.01,3.04,3.27,32.5,35.5,
1103,Michael Gbinije,SG,2016-17,5.4,8.0,9.0,77.5,78.75,101.0,204.6,79.5,11.0,3.19,3.12,33.5,37.5,
1104,Daniel Hamilton,SG-SF,2016-17,5.95,9.0,8.5,78.25,80.0,103.5,197.0,81.0,11.48,3.2,3.4,26.0,29.0,
1105,Josh Hart,SG,2016-17,5.75,8.5,9.25,76.0,77.5,99.5,203.6,80.5,11.15,3.15,3.2,29.5,38.5,
1106,Nigel Hayes,SF-PF,2016-17,10.9,8.5,9.5,78.25,79.25,107.5,245.0,87.0,12.11,2.9,3.2,25.5,28.5,
1107,Buddy Hield,SG,2016-17,6.1,8.5,9.0,75.75,77.0,101.0,212.4,81.25,,,,,,
1108,Justin Jackson,SF,2016-17,7.6,8.75,8.75,79.0,80.25,103.5,193.4,82.75,11.32,2.96,3.26,29.5,34.5,
1109,Demetrius Jackson,PG,2016-17,6.5,8.25,9.0,72.0,73.25,93.0,193.8,77.5,10.81,2.87,3.25,37.5,43.5,
1110,Brice Johnson,PF,2016-17,7.5,9.0,8.25,81.0,82.5,106.5,208.6,84.5,11.88,2.94,3.2,33.5,38.0,
1111,Damian Jones,C,2016-17,6.55,8.75,10.5,82.25,83.5,107.0,243.6,87.75,11.35,3.12,3.2,36.0,37.0,
1112,Skal Labissiere,PF-C,2016-17,5.7,8.75,9.0,82.5,83.75,105.5,215.8,86.5,,,,,,
1113,Jake Layman,SF,2016-17,7.1,8.25,9.25,80.0,81.25,102.0,208.6,81.25,11.35,2.82,3.24,33.0,39.5,
1114,Caris LeVert,SG,2016-17,7.55,8.5,9.25,77.75,79.0,101.0,191.0,82.0,,,,,,
1115,Marcus Lee,PF-C,2016-17,5.35,9.0,9.0,81.0,82.25,107.5,211.0,87.0,11.68,3.19,3.25,28.5,35.5,
1116,Thon Maker,PF,2016-17,6.05,8.75,9.5,83.75,84.75,110.5,216.0,87.0,11.15,3.09,3.33,32.0,36.5,
1117,Patrick McCaw,PG-SG,2016-17,4.7,8.75,8.75,77.25,78.75,100.5,180.8,82.0,11.01,2.97,3.3,30.0,38.0,
1118,Malik Newman,SG,2016-17,5.6,8.25,9.25,74.25,75.5,97.5,182.2,77.75,10.88,3.11,3.28,30.0,35.5,
1119,Georges Niang,PF,2016-17,10.05,9.25,9.25,78.75,80.5,103.0,230.8,82.0,11.64,3.17,3.49,25.0,31.0,
1120,Chinanu Onuaku,C,2016-17,8.55,9.0,8.0,81.0,82.0,108.5,245.2,86.75,11.65,3.0,3.5,27.5,33.5,
1121,Marcus Paige,PG,2016-17,4.3,7.75,8.75,72.5,73.75,97.0,163.8,78.25,10.82,2.69,3.15,33.5,39.5,
1122,Gary Payton II,PG,2016-17,3.95,8.75,9.5,74.0,75.0,99.5,183.8,80.0,11.57,3.17,3.23,31.5,38.5,
1123,Jakob Poeltl,C,2016-17,5.8,9.25,10.25,84.25,85.0,111.5,239.0,86.75,,,,,,
1124,Taurean Prince,SF,2016-17,6.45,9.0,8.5,78.5,79.75,102.0,220.2,83.5,10.96,2.8,3.24,34.0,36.0,
1125,Zhou Qi,PF-C,2016-17,4.85,9.25,9.5,85.25,86.25,112.5,218.2,91.75,11.27,2.9,3.46,31.5,32.0,
1126,Malachi Richardson,SG-SF,2016-17,7.0,8.75,10.0,76.75,78.25,101.5,199.6,84.0,10.56,3.25,3.33,33.0,38.0,
1127,Wayne Selden,SG,2016-17,7.3,9.0,9.25,76.25,77.75,101.0,232.4,82.5,,,,,,
1128,Pascal Siakam,PF,2016-17,5.2,9.25,10.0,80.25,81.5,107.5,226.6,87.25,11.25,3.09,3.41,30.5,36.5,
1129,Diamond Stone,C,2016-17,12.85,8.5,7.75,81.0,82.25,108.5,254.4,86.75,12.02,3.22,3.5,27.0,29.5,
1130,Caleb Swanigan,PF,2016-17,12.55,9.0,10.25,79.5,80.5,107.0,246.6,87.5,12.8,,,26.0,29.0,
1131,Melo Trimble,PG,2016-17,8.35,8.0,8.75,73.25,74.5,92.5,191.8,74.0,10.57,2.77,3.2,26.5,35.5,
1132,Tyler Ulis,PG,2016-17,5.2,7.5,7.5,68.75,70.0,88.5,149.2,74.0,10.8,2.88,3.2,32.5,38.0,
1133,Jarrod Uthoff,PF,2016-17,6.0,8.75,9.0,80.5,81.75,104.0,214.4,83.5,11.52,3.03,3.5,29.0,34.5,
1134,Denzel Valentine,SG-SF,2016-17,9.2,8.5,9.75,76.0,77.75,102.0,210.4,82.75,10.51,3.22,3.46,27.0,32.0,
1135,Isaiah Whitehead,PG-SG,2016-17,9.25,8.5,8.75,75.25,76.5,100.0,210.0,80.75,11.65,3.21,3.34,27.5,35.5,
1136,Troy Williams,SF,2016-17,10.0,8.25,9.25,77.75,78.75,102.0,217.8,80.25,10.72,3.08,3.35,30.0,36.0,
1137,Kyle Wiltjer,PF,2016-17,15.25,8.25,9.5,80.75,82.0,102.5,242.8,84.25,11.35,3.04,3.48,28.5,35.5,
1138,Stephen Zimmerman,C,2016-17,11.15,9.0,9.0,82.25,83.75,108.5,234.0,87.25,12.08,3.16,3.43,26.0,31.0,
1139,Edrice Adebayo,PF-C,2017-18,5.2,9.5,8.75,80.75,81.75,108.0,242.6,86.75,11.94,3.24,3.24,33.5,38.5,12.0
1140,Rawle Alkins,SG-SF,2017-18,11.0,8.75,10.0,74.5,75.75,99.0,222.6,80.75,11.99,3.18,3.3,31.5,40.5,7.0
1141,Jarrett Allen,C,2017-18,7.4,9.5,10.5,81.0,82.25,109.5,233.6,89.25,11.82,3.0,3.21,31.5,35.5,4.0
1142,Kadeem Allen,PG,2017-18,6.4,8.5,8.75,73.0,74.25,99.5,192.4,81.25,11.24,2.98,3.15,33.0,35.5,7.0
1143,Ike Anigbogu,C,2017-18,5.4,9.5,10.0,80.5,81.75,110.5,252.2,90.25,12.52,3.48,3.44,29.5,32.5,11.0
1144,OG Anunoby,SF,2017-18,6.8,9.25,9.5,78.25,79.75,107.5,232.4,86.25,,,,,,
1145,Jamel Artis,SG-SF,2017-18,11.9,9.25,9.75,77.5,78.75,105.0,213.2,82.0,11.62,3.08,3.44,23.5,31.0,5.0
1146,Dwayne Bacon,SG-SF,2017-18,7.9,8.75,10.0,76.75,78.25,103.5,221.6,82.0,11.7,3.22,3.22,30.0,36.5,8.0
1147,V.J. Beachem,SG-SF,2017-18,6.8,8.5,9.0,78.25,80.0,104.5,193.4,82.25,11.18,3.19,3.26,30.0,37.0,11.0
1148,Jordan Bell,PF,2017-18,5.4,9.25,9.5,79.0,80.5,104.5,223.6,83.75,10.63,2.83,3.21,31.5,38.0,16.0
1149,Jaron Blossomgame,SF,2017-18,5.7,8.75,10.25,77.75,78.75,104.5,218.6,82.0,11.47,3.35,3.17,31.0,35.5,16.0
1150,Chris Boucher,PF,2017-18,5.4,9.25,10.5,80.0,81.5,110.5,182.2,88.0,,,,,,
1151,Tony Bradley,C,2017-18,12.0,9.5,9.5,81.25,82.75,112.5,248.8,89.0,11.79,2.99,3.44,24.5,27.5,5.0
1152,Isaiah Briscoe,PG,2017-18,11.0,9.0,9.25,73.25,74.75,99.5,222.4,81.0,10.95,2.85,3.38,28.0,33.5,11.0
1153,Dillon Brooks,SG-SF,2017-18,7.5,8.25,9.25,77.0,78.0,100.5,220.2,78.0,11.14,3.24,3.21,31.0,37.5,16.0
1154,Thomas Bryant,PF-C,2017-18,9.4,9.5,10.25,81.5,82.75,112.5,247.8,90.0,11.42,3.12,3.37,25.5,33.0,7.0
1155,Zach Collins,PF-C,2017-18,8.9,8.75,9.25,82.25,84.0,111.0,232.2,85.0,,,,,,
1156,John Collins,PF,2017-18,5.4,9.0,10.0,80.25,81.5,106.5,225.2,83.25,11.66,3.27,3.27,33.0,37.5,15.0
1157,Hamidou Diallo,SG-SF,2017-18,5.2,8.5,9.5,75.75,77.0,101.5,197.4,83.25,10.88,2.79,3.11,34.5,44.5,
1158,Tyler Dorsey,SG,2017-18,4.7,8.5,9.25,75.0,76.5,99.5,182.6,77.25,10.55,2.98,3.16,30.5,36.0,8.0
1159,Damyean Dotson,SG-SF,2017-18,5.3,8.5,9.25,76.5,77.5,100.0,205.2,81.0,11.18,3.03,3.13,31.5,38.0,13.0
1160,PJ Dozier,SG,2017-18,6.1,8.5,9.5,77.25,78.75,101.0,200.6,83.0,10.84,2.98,3.15,34.0,39.0,9.0
1161,Jawun Evans,PG,2017-18,9.1,8.0,7.75,70.75,71.5,95.0,185.2,77.5,11.34,3.26,3.21,27.5,33.5,1.0
1162,Terrance Ferguson,SG-SF,2017-18,5.8,8.5,10.0,77.5,79.0,103.0,184.4,80.75,11.16,3.22,3.32,28.5,38.0,
1163,De?Aaron Fox,PG,2017-18,4.5,8.5,8.5,74.0,75.25,100.0,169.6,78.5,,,,,,
1164,Harry Giles,PF,2017-18,5.2,9.5,10.75,81.25,82.5,109.5,232.0,87.25,11.08,3.0,3.34,27.0,32.5,5.0
1165,Josh Hart,SG-SF,2017-18,5.8,8.5,9.5,75.75,77.0,101.0,209.2,80.25,11.15,3.02,3.18,27.5,35.5,9.0
1166,Nigel Hayes,PF,2017-18,11.5,8.75,10.0,78.25,79.5,104.5,254.2,87.25,11.81,2.94,3.27,29.0,33.5,16.0
1167,Isaiah Hicks,PF,2017-18,7.7,8.75,9.75,79.25,80.5,105.0,233.4,84.5,12.31,3.31,3.36,31.5,37.0,11.0
1168,Wesley Iwundu,SG-SF,2017-18,4.0,8.75,9.5,77.5,78.75,105.5,193.4,85.0,11.25,3.23,3.36,31.5,36.0,5.0
1169,Frank Jackson,PG,2017-18,6.7,8.25,9.0,74.0,75.5,98.0,201.6,79.5,10.94,2.7,3.14,34.5,42.0,9.0
1170,Justin Jackson (UMD),SF,2017-18,7.1,9.0,9.5,77.75,79.0,107.0,219.4,87.25,11.78,3.08,3.43,26.5,31.5,
1171,Justin Jackson (UNC),SF,2017-18,8.1,8.75,9.25,79.0,80.25,104.5,200.8,83.0,10.8,3.06,3.3,29.5,35.5,
1172,Peter Jok,SG-SF,2017-18,11.0,8.25,9.5,76.25,77.75,102.0,202.4,80.0,11.34,2.93,3.41,26.5,31.0,
1173,Luke Kennard,SG-SF,2017-18,6.6,8.0,8.75,76.5,77.5,98.5,196.2,77.25,,,,,,
1174,Kyle Kuzma,SF-SG,2017-18,9.4,8.5,9.5,80.0,81.5,107.5,222.6,84.25,10.72,2.98,3.25,27.0,34.0,12.0
1175,TJ Leaf,PF,2017-18,6.8,8.5,9.5,80.75,81.75,107.0,222.2,83.0,11.55,3.27,3.27,29.0,34.5,6.0
1176,Tyler Lydon,PF,2017-18,13.6,8.75,8.75,80.25,81.5,107.5,215.0,84.0,11.68,2.81,3.46,29.5,33.5,1.0
1177,Frank Mason III,PG,2017-18,4.3,8.0,9.25,71.0,72.0,94.0,188.8,75.25,11.41,3.09,3.18,34.0,41.0,15.0
1178,Kennedy Meeks,C,2017-18,11.5,8.75,8.75,80.75,82.25,106.0,276.6,85.0,12.91,3.35,3.5,28.0,30.5,15.0
1179,Donovan Mitchell,SG,2017-18,5.9,8.5,9.5,73.25,75.0,97.0,211.4,82.0,11.53,3.07,3.01,36.5,40.5,10.0
1180,Monte Morris,PG,2017-18,6.9,8.25,8.75,73.25,74.5,96.5,175.2,76.0,11.0,3.2,3.19,28.0,33.5,8.0
1181,Johnathan Motley,PF,2017-18,,9.0,9.5,79.75,80.75,108.0,238.2,88.0,,,,,,
1182,Svi Mykhailiuk,SG-SF,2017-18,11.4,8.0,9.25,78.5,79.5,100.0,219.6,77.0,12.4,3.25,3.53,27.0,33.0,8.0
1183,Semi Ojeleye,SF-SG,2017-18,5.5,8.75,9.5,77.25,78.75,102.0,241.4,81.75,10.58,3.07,3.16,35.0,40.5,19.0
1184,Cameron Oliver,PF,2017-18,7.7,9.5,10.25,79.0,80.25,106.5,238.6,85.25,12.17,3.31,3.16,28.0,39.5,5.0
1185,Justin Patton,C,2017-18,7.8,8.75,9.75,82.0,83.25,111.5,229.0,87.0,11.8,3.31,3.46,26.0,30.5,
1186,Alec Peters,PF,2017-18,8.8,8.75,10.0,79.25,80.75,105.0,232.0,82.75,,,,,,
1187,Ivan Rabb,PF,2017-18,6.8,8.75,9.0,80.75,82.0,109.0,219.6,85.5,12.68,3.23,3.35,28.5,32.5,3.0
1188,Davon Reed,SG-SF,2017-18,6.5,9.25,9.5,76.5,77.5,102.0,206.2,84.0,11.37,3.21,3.34,28.5,36.0,12.0
1189,Devin Robinson,SF,2017-18,3.2,9.25,10.25,79.0,80.25,106.0,189.6,84.75,12.85,3.61,3.23,35.5,41.5,10.0
1190,Kobi Simmons,PG,2017-18,5.0,8.5,9.5,75.25,76.5,99.0,166.2,78.0,11.15,2.98,3.18,30.5,38.5,3.0
1191,Edmond Sumner,PG,2017-18,8.3,8.25,9.0,76.0,77.75,102.5,176.4,81.0,,,,,,
1192,Caleb Swanigan,PF,2017-18,,9.5,10.25,79.5,80.5,108.0,245.6,87.0,,,,,,
1193,Sindarius Thornwell,SG-SF,2017-18,7.8,8.75,8.75,75.5,76.75,103.0,211.6,82.0,11.48,3.03,3.36,27.0,30.5,15.0
1194,Melo Trimble,PG,2017-18,10.6,8.0,8.75,73.25,74.5,95.5,195.2,74.0,10.75,2.92,3.27,24.5,32.0,6.0
1195,Moritz Wagner,PF,2017-18,6.7,8.75,10.75,82.0,83.25,108.0,231.2,84.0,12.0,2.98,3.35,25.5,32.5,
1196,Derrick Walton Jr.,PG,2017-18,5.8,8.0,8.5,71.0,72.75,95.0,188.6,74.5,11.28,3.12,3.29,26.0,32.5,9.0
1197,Thomas Welsh,PF-C,2017-18,10.9,9.0,10.5,83.5,84.5,109.5,254.0,84.0,,,,,,11.0
1198,Derrick White,PG,2017-18,6.2,8.25,8.5,75.25,76.5,101.5,189.8,79.5,10.84,2.92,3.08,31.0,36.5,10.0
1199,Nigel Williams-Goss,PG,2017-18,5.6,8.75,9.25,73.5,75.0,99.0,190.2,79.25,10.42,3.08,3.19,27.5,34.5,10.0
1200,D.J. Wilson,PF,2017-18,6.4,9.25,10.25,80.75,82.5,109.5,234.4,87.0,,,,,,
1201,Omer Yurtseven,C,2017-18,7.6,9.0,10.5,82.5,83.75,108.5,248.4,85.0,12.85,3.3,3.45,26.0,31.5,6.0
1202,Rawle Alkins,SG,2018-19,8.9,8.5,10.0,74.75,76.25,99.0,217.4,80.75,11.5,3.09,3.15,32.5,40.5,10.0
1203,Grayson Allen,SG,2018-19,5.55,8.25,10.0,75.0,76.5,97.0,198.0,79.25,10.31,3.04,3.15,32.5,40.5,
1204,Kostas Antetokounmpo,PF,2018-19,5.0,9.25,9.5,81.0,82.5,110.0,194.8,86.25,12.48,3.48,3.21,29.5,35.0,
1205,Udoka Azubuike,C,2018-19,7.95,9.5,10.0,82.0,84.25,112.5,273.8,91.0,12.97,3.65,3.12,31.0,31.5,11.0
1206,Mohamed Bamba,C,2018-19,6.2,9.75,10.25,83.25,84.75,115.5,225.6,94.0,,,,,,
1207,Jaylen Barford,PG-SG,2018-19,11.65,8.0,8.25,73.25,74.25,96.5,207.6,75.5,11.39,3.21,3.31,27.0,33.0,7.0
1208,Keita Bates-Diop,SG-SF,2018-19,5.35,9.0,8.5,79.25,80.5,106.5,223.8,87.25,11.2,3.28,3.17,30.5,35.0,11.0
1209,Tyus Battle,SG,2018-19,4.0,8.5,9.25,77.0,78.75,102.0,200.2,81.0,11.04,2.87,3.07,32.0,37.5,9.0
1210,Brian Bowen,SG-SF,2018-19,7.6,9.0,10.0,78.25,79.5,103.5,202.0,82.25,11.58,3.33,3.28,30.5,34.0,
1211,Miles Bridges,SF,2018-19,5.9,9.0,9.75,77.25,78.75,103.5,220.4,81.5,,,,,,
1212,Bruce Brown,SG-PG,2018-19,3.75,8.5,8.5,75.5,77.0,98.5,194.6,81.0,11.11,3.44,3.2,32.5,38.0,17.0
1213,Troy Brown,SF,2018-19,7.05,9.0,9.75,77.75,78.75,105.0,208.0,82.25,11.51,3.29,3.33,26.0,33.0,5.0
1214,Jalen Brunson,PG,2018-19,6.7,8.25,9.25,73.0,74.25,96.0,198.4,76.0,10.59,3.11,3.15,29.0,37.0,7.0
1215,Tony Carr,PG,2018-19,6.5,8.5,9.75,75.0,76.5,100.0,198.8,80.25,11.89,3.4,3.17,25.0,31.5,
1216,Jevon Carter,PG,2018-19,4.15,9.25,8.5,72.25,73.5,95.0,196.2,76.25,11.04,3.05,3.18,29.0,36.5,14.0
1217,Wendell Carter,C-PF,2018-19,7.85,8.5,9.0,80.75,82.0,109.0,251.4,88.5,,,,,,
1218,Donte DiVincenzo,SG,2018-19,5.0,8.25,9.0,75.5,76.5,97.5,200.6,78.0,10.72,3.12,3.11,34.5,42.0,12.0
1219,Hamidou Diallo,SG,2018-19,4.45,8.75,9.0,76.25,78.0,103.0,197.0,83.5,10.53,3.14,3.1,32.5,40.5,1.0
1220,Trevon Duval,PG,2018-19,5.2,8.75,10.0,73.5,74.5,97.5,191.0,80.25,10.93,3.09,3.18,34.0,41.5,6.0
1221,Carsen Edwards,PG,2018-19,6.3,8.5,9.25,70.75,72.0,94.5,195.6,78.25,11.59,3.15,3.2,28.5,34.5,12.0
1222,Keenan Evans,PG,2018-19,6.5,8.5,8.0,73.5,75.0,98.0,183.2,77.25,,,,,,
1223,Jacob Evans,SG-SF,2018-19,6.5,9.0,9.25,76.25,77.5,102.5,199.6,81.25,11.11,3.14,3.2,28.0,35.5,8.0
1224,Bruno Fernando,C,2018-19,5.25,9.5,10.0,80.75,81.75,109.0,233.2,88.25,12.19,3.03,3.23,29.0,35.0,11.0
1225,Melvin Frazier,SF-SG,2018-19,7.9,9.5,9.5,76.5,78.0,105.0,198.2,85.75,11.24,3.08,3.08,31.0,40.5,
1226,Shai Gilgeous-Alexander,PG,2018-19,3.0,9.0,9.0,76.5,78.0,104.0,180.0,83.5,,,,,,
1227,Devonte Graham,PG,2018-19,4.8,8.5,9.5,72.25,73.5,96.0,186.4,78.25,11.28,3.15,3.21,31.0,37.0,14.0
1228,Isaac Haas,C,2018-19,12.55,10.0,10.5,85.25,86.75,111.5,303.0,89.0,,,,,,
1229,Devon Hall,SG,2018-19,8.45,8.5,10.0,76.25,78.0,102.0,206.4,79.75,10.95,3.16,3.27,25.0,31.0,6.0
1230,Jaylen Hands,PG,2018-19,5.0,8.0,8.0,73.5,74.75,98.0,179.0,77.5,12.11,3.16,3.13,31.5,39.5,6.0
1231,Kevin Hervey,PF,2018-19,5.15,9.25,10.25,78.5,79.75,107.0,211.6,87.5,11.28,3.15,3.36,27.5,32.0,4.0
1232,Aaron Holiday,PG,2018-19,6.4,8.75,8.5,71.75,72.75,97.0,187.0,79.5,10.96,3.22,3.27,25.5,33.0,
1233,Kevin Huerter,SG,2018-19,8.6,8.25,8.5,78.25,79.25,101.5,194.0,79.5,10.89,2.97,3.09,31.0,38.0,9.0
1234,Jaren Jackson,PF-C,2018-19,7.2,10.0,10.0,81.75,83.25,110.0,236.0,89.25,,,,,,
1235,Justin Jackson,PF,2018-19,8.9,9.0,9.5,78.0,78.75,105.0,229.4,87.0,,,,,,
1236,Alize Johnson,PF,2018-19,8.1,8.5,9.75,79.25,80.0,103.0,216.6,80.75,11.83,3.28,3.38,25.0,31.0,8.0
1237,George King,SF-SG,2018-19,7.25,9.0,10.25,76.75,78.0,101.5,218.6,83.5,10.75,3.08,3.29,31.0,39.0,15.0
1238,Kevin Knox,SF,2018-19,4.95,8.75,9.25,79.75,81.0,108.0,212.6,83.75,,,,,,
1239,Sagaba Konate,C,2018-19,7.35,9.25,10.0,78.5,79.5,106.5,246.0,84.0,12.28,3.36,3.28,31.5,35.0,12.0
1240,Caleb Martin,SF-SG,2018-19,7.0,8.5,8.75,76.75,78.0,101.5,195.8,82.0,10.43,2.75,3.26,29.0,36.5,6.0
1241,Cody Martin,SG-SF,2018-19,5.45,8.5,9.0,76.75,78.0,102.5,188.6,82.25,10.64,3.05,3.09,29.0,36.5,4.0
1242,Yante Maten,PF-C,2018-19,8.1,9.25,10.0,79.25,80.5,107.5,246.2,84.5,11.35,3.13,3.17,27.0,31.5,18.0
1243,Brandon McCoy,C,2018-19,8.7,9.75,9.5,83.5,84.5,110.5,250.4,86.0,11.77,3.31,3.23,27.5,32.0,9.0
